filename,alt_text,caption,source_credit,source_year,license_note,rights_status,people_shown,is_placeholder
puskesmas.jpg,"Bangunan pusat kesehatan masyarakat","Foto contoh: layanan kesehatan — bukan foto Desa Cihawuk.",Firzafp,2023,"CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Pusat_Kesehatan_Masyarakat_Aur_Duri_-_Telanaipura,_Kota_Jambi,_JA_02.jpg",licensed,,1
lapangan.jpg,"Lapangan olahraga terbuka di desa","Foto contoh: lapangan olahraga — bukan foto Desa Cihawuk.","Dani Albakia",2016,"CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:LAPANGAN_SEPAK_BOLA_SIOMPU_LAPARA_-_panoramio.jpg",licensed,,1
lanskap-pegunungan.jpg,"Lanskap perbukitan berkabut di dataran tinggi Bandung selatan","Foto contoh: lanskap dataran tinggi — bukan foto Desa Cihawuk.","Jakub Hałun",2025,"CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Cameron_Bharat_Tea_Plantation,_Cameron_Highlands,_Malaysia,_20250829_1432_4034.jpg",licensed,,1
sawah.jpg,"Petak sawah bertingkat di lereng bukit","Foto contoh: persawahan — bukan foto Desa Cihawuk.","Vyacheslav Argenberg",2010,"CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Bali,_Rice_fields,_Rice_terraces_in_East_Bali,_Indonesia.jpg",licensed,,1
sayuran.jpg,"Lahan sayuran dataran tinggi","Foto contoh: pertanian sayuran — bukan foto Desa Cihawuk.","CEphoto, Uwe Aranas",2014,"CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Kundasang_Sabah_Vegetable-Market-03.jpg",licensed,,1
stroberi.jpg,"Buah stroberi segar","Foto contoh: komoditas stroberi — bukan foto Desa Cihawuk.",Wolfmann,2020,"CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:STRAWBERRY_SPROUTING_green_sprout_vivipary_achenes_oblong_fruit_close-up_Jordb%C3%A6r_gr%C3%B8nt_skudd_(bought_in_Norway_December_2020)_IMG_2524.jpg",licensed,,1
kopi.jpg,"Biji kopi yang sudah disangrai","Foto contoh: komoditas kopi — bukan foto Desa Cihawuk.",Alorin,2018,"CC BY 4.0 | https://commons.wikimedia.org/wiki/File:Coarsely_grounded_coffee_beans_in_white_bowl_with_intact_roasted_bean.png",licensed,,1
masjid.jpg,"Bangunan masjid di permukiman desa","Foto contoh: masjid — bukan foto Desa Cihawuk.","Sheihu Salawatia",2022,"CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:A_Village_Mosque_in_Northern_Ghana.jpg",licensed,,1
sekolah.jpg,"Gedung sekolah dasar","Foto contoh: sekolah dasar — bukan foto Desa Cihawuk.","CEphoto, Uwe Aranas",2015,"CC BY-SA 3.0 | https://commons.wikimedia.org/wiki/File:Checheng_Taiwan_Checheng-Elementary-School-01.jpg",licensed,,1
air-bersih.jpg,"Sumber mata air dan bak penampungan","Foto contoh: sumber air bersih — bukan foto Desa Cihawuk.",Adityamadhav83,2018,"CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:A_water_tank_at_G_S_Agraharam_village.jpg",licensed,,1
teh-produk.jpg,"Daun teh kering siap seduh","Foto contoh: produk olahan teh — bukan foto Desa Cihawuk.",Bdx,2014,"CC BY-SA 4.0 | https://commons.wikimedia.org/wiki/File:Tea_production,_step_2_-_processing_of_the_dried_tea_leaves_(Ndawara)_(01).jpg",licensed,,1
